acid,currency,curve_type,yield_tomaturity,vir_model,asset_type,valdate,maturity,duration,oas,market_value_usd,convexity,oas_fv,credit_loss_fv,tax_benefit_fv,credit_fv_valdate,shift_yield,shift_yield_fv,termspread,credit_free_yield_fv,termspread_fv,rollspread,rollspread_fv,yield_tomaturity_fv,fx_usd_unhedged_1,fx_usd_unhedged_10,fx_usd_unhedged_20,fx_usd_unhedged_30,fx_usd_unhedged_fair,fx_usd_hedged_fair,local_nominal_1,local_real_1,usd_unhedged_1,usd_hedged_1,fx_usd_hedged_1,income_contrib_1,rollyield_contrib_1,creditloss_contrib_1,price_contrib_1,inflation_contrib_1,local_nominal_10,local_real_10,usd_unhedged_10,usd_hedged_10,fx_usd_hedged_10,income_contrib_10,rollyield_contrib_10,creditloss_contrib_10,price_contrib_10,inflation_contrib_10,local_nominal_20,local_real_20,usd_unhedged_20,usd_hedged_20,fx_usd_hedged_20,income_contrib_20,rollyield_contrib_20,creditloss_contrib_20,price_contrib_20,inflation_contrib_20,local_nominal_30,local_real_30,usd_unhedged_30,usd_hedged_30,fx_usd_hedged_30,income_contrib_30,rollyield_contrib_30,creditloss_contrib_30,price_contrib_30,inflation_contrib_30,nominal_vir_fair,real_vir_fair,usd_unhedged_fair,usd_hedged_fair,income_contrib_fair,rollyield_contrib_fair,creditloss_contrib_fair,price_contrib_fair,inflation_contrib_fair,missing_components
AU Agg,AUD,nominal,4.934546206260311,composite,Conventional,2026-05-31,6.36600213758745,5.3185608479043776,0.3391207540204032,1150290.0133018112,0.42849222470723786,0.318593402666633,-0.07212421392405868,0.0,2023-12-31,4.8461,4.0,-0.25067454776009157,3.708362935675716,-0.29163706432428416,0.042948106737049824,0.08913401405526039,4.026956338342349,-0.04733069413800196,-0.0054865758632571815,-0.002747061103983261,-0.0018322135774281323,0.0,-0.004844961240310198,0.05312277206688407,0.018132936805340543,0.0032777402524216,0.04581123336098361,-0.006942722064162244,0.049345462062603124,0.002811130214889215,-0.0007212421392405869,0.001509315346123384,0.034366666666666656,0.05169744605748176,0.02470427308730089,0.04592722823449353,0.04359977944594465,-0.0076996161223865656,0.047165032656972285,0.003575362841854638,-0.0007212421392405869,0.0014731712527946944,0.02634240305142277,0.050102999001717705,0.02432031130641526,0.047218301897983934,0.042188716478058184,-0.007536672622764917,0.044880685520197895,0.00395747915533735,-0.0007212421392405869,0.0017594667575830123,0.025170532508936857,0.04869219554350215,0.023333773410985175,0.04677076746428435,0.041354606304695625,-0.006996895056517238,0.04334364480793975,0.0040848512598315855,-0.0007212421392405869,0.0017604421718267656,0.02478020641104428,0.04388791671300296,0.019421793665041945,0.043887916713003,0.03883032021730035,0.04026956338342349,0.00433959546882006,-0.0007212421392405869,-0.00013463870906396907,0.024,
AU Corp,AUD,nominal,5.535996273211757,Cashflow,Conventional,2026-05-31,4.617396145914818,3.846863589424374,1.0503220449133668,107220.68878321986,0.22063324030002296,1.25,-0.292,0.0,2025-10-31,4.8461,4.0,-0.3604257717016095,3.579826595321056,-0.4201734046789438,0.02024999999999988,0.10499999999999998,4.829826595321056,-0.04733069413800195,-0.0054865758632571815,-0.0027470611039832615,-0.0018322135774281323,0.0,-0.004844961240310197,0.05420799503904172,0.01918210341823512,0.004311598868012467,0.04688892193166794,-0.006942722064162243,0.055359962732117574,0.0011050115660621472,-0.00292,0.0007279986506338876,0.034366666666666656,0.05418578921734585,0.027128749706863742,0.04840191891083734,0.04606896331869703,-0.0076996161223865656,0.05408592418160942,0.0025721091674788697,-0.00292,0.00045030231664955345,0.02634240305142277,0.05360317167265927,0.02773454587515123,0.05070885938072389,0.04566250949345574,-0.007536672622764917,0.052355482567409996,0.0033056579681872305,-0.00292,0.0008093058766225347,0.02517053250893686,0.05269888806331302,0.027243580113676114,0.05077011886765992,0.04533326441742158,-0.006996895056517238,0.051003077029343535,0.0035501742350900175,-0.00292,0.000993093463260486,0.02478020641104428,0.04941747272210615,0.024821750705181778,0.04941747272210617,0.04433308574186334,0.04829826595321056,0.004039206768895591,-0.00292,-3.972675709429385e-05,0.024,
AU Credit FRN: 0+,AUD,nominal,5.14,Cashflow,Floaters,2026-05-31,2.14,0.14,0.5754,175897.065755083,,0.9,-0.407759923080457,0.0,2023-12-31,4.8461,4.0,-0.2815000000000003,3.2,-0.7999999999999998,0.0,0.0,4.1000000000000005,-0.04733069413800195,-0.0054865758632571815,-0.0027470611039832615,-0.0018322135774281323,0.0,-0.004844961240310197,0.04684939896975093,0.01206799552359028,-0.0026987097414374883,0.03958141454966868,-0.006942722064162243,0.051399999999999994,0.0,-0.00407759923080457,-0.0002515614324645199,0.034366666666666656,0.0443211666777481,0.017517315442558523,0.03859141937116539,0.03628029458584647,-0.0076996161223865656,0.04862372499999999,0.0,-0.00407759923080457,-2.5557602853720773e-05,0.02634240305142277,0.042377407202787376,0.016784402348884786,0.03951393277178972,0.0345213499353334,-0.007536672622764917,0.045975250000000016,0.0,-0.00407759923080457,0.0006405093173484921,0.02517053250893686,0.041256064950002,0.01607745586408127,0.03934826145022119,0.03397050553658465,-0.006996895056517238,0.04431683333333333,0.0,-0.00407759923080457,0.0011514132146950296,0.02478020641104428,0.03692240076919544,0.0126195320011675,0.03692240076919551,0.0318985519282593,0.04100000000000001,0.0,-0.00407759923080457,0.00016125461957372522,0.024,
AU Gov,AUD,nominal,4.869193317693474,composite,Conventional,2026-05-31,6.816465919378238,5.680326761409794,0.24297214449580248,941289.4797484955,0.4789199950542069,0.17625752028360392,-0.04406438007090098,0.0,2023-12-31,4.8461,4.0,-0.2198788268023275,3.742398891654279,-0.257601108345721,0.04268422939365658,0.08669246856947305,3.9186564119378833,-0.04733069413800195,-0.0054865758632571815,-0.0027470611039832615,-0.0018322135774281323,0.0,-0.004844961240310197,0.05326564654706749,0.018271064303825954,0.0034138523842833293,0.04595311590336106,-0.006942722064162243,0.048691933176934744,0.003035638586943265,-0.0004406438007090098,0.0017607047320907768,0.034366666666666656,0.05162749541651893,0.024636117819863034,0.045857661383029054,0.04353036739806478,-0.007699616122386565,0.04631824210103458,0.0037583862273533083,-0.0004406438007090098,0.0017495463280198281,0.026342403051422766,0.04984776167837261,0.02407134070566996,0.0469637657271621,0.04193540279486011,-0.0075366726227649155,0.04391579061020671,0.00411976004755833,-0.0004406438007090098,0.001994842332698312,0.02517053250893686,0.048340451776491426,0.022990535158713857,0.0464196681669794,0.041005323651909564,-0.006996895056517238,0.04233938177993075,0.004240217987626671,-0.0004406438007090098,0.0019495420819900505,0.024780206411044278,0.04322705418643317,0.01877642010393868,0.0432270541864332,0.0381726595440569,0.039186564119378826,0.004481133867763351,-0.0004406438007090098,-0.0001501850558951079,0.023999999999999997,
AU GovRltd,AUD,nominal,5.077670986467249,Cashflow,Conventional,2026-05-31,6.154380112707528,5.190875146288778,0.49193384214989244,516553.21869387943,0.3904400355840605,0.45,-0.1,0.0,2023-12-31,4.8461,4.0,-0.2603628556826436,3.7296661107072153,-0.2703338892927847,0.06930000000000014,0.0950000000000002,4.179666110707215,-0.04733069413800195,-0.0054865758632571815,-0.0027470611039832615,-0.0018322135774281323,0.0,-0.004844961240310197,0.05512237810300524,0.02006610625149552,0.0051827035468505755,0.0477969566881582,-0.006942722064162243,0.05077670986467249,0.0037306819676377516,-0.001,0.001404890048351204,0.034366666666666656,0.05367996853726198,0.026635911567681303,0.04789887345428778,0.0455670372636765,-0.0076996161223865656,0.04863941292375234,0.004331006678306051,-0.001,0.0014751746398038446,0.02634240305142277,0.05207469883292082,0.02624360091402589,0.04918458534927206,0.04414555625312322,-0.007536672622764917,0.04638142451541225,0.0046311690336402,-0.001,0.0018078228410389752,0.02517053250893686,0.050678477029260316,0.025272024631424417,0.04875340965813568,0.04332698998734519,-0.006996895056517238,0.04485317004596554,0.0047312231520849155,-0.001,0.0018418841091059068,0.02478020641104428,0.0457279924960465,0.021218742671920365,0.04572799249604653,0.04066148090449584,0.04179666110707215,0.004931331388974349,-0.001,-0.0001521952706892149,0.024,
AU IL,AUD,real,1.9442118486000772,composite,Linkers,2026-05-31,7.87553875088249,5.242970609051829,-0.004398823307269173,36396.13795249943,0.8482571616552147,0.0,0.0,0.0,,2.4328,1.5999999999999999,-0.48418932809265347,1.3555446570143153,-0.24445534298568475,0.11367618592126083,0.06732720880319569,1.3555446570143153,-0.04733069413800194,-0.005486575863257182,-0.002747061103983261,-0.0018322135774281323,0.0,-0.004844961240310197,0.061607949467060684,0.02633619554677004,0.011361308316363773,0.05423750053280568,-0.006942722064162243,0.020110279291302997,0.0038764813390604336,0.0,0.03663707594216194,0.03436666666666666,0.05224053247597305,0.025233420491594667,0.04646733496814947,0.04413868430749241,-0.007699616122386565,0.019158851586782426,0.003329449940156271,0.0,0.029013948924151507,0.02634240305142277,0.049541554294126135,0.023772651488084804,0.04665839951331061,0.04163150319542348,-0.007536672622764918,0.017690736990383732,0.00305593424070419,0.0,0.028139339057041596,0.02517053250893686,0.04724970410233845,0.02192616285006733,0.04533091897552455,0.03992220782476577,-0.006996895056517238,0.016419782723104518,0.0029647623408868297,0.0,0.02727379465203924,0.02478020641104428,0.040663195829078694,0.01627265217683458,0.040663195829078624,0.03562122298106941,0.01388077728782659,0.0027824185412521083,0.0,0.023565891708190775,0.023999999999999997,
AU IL: 1-10,AUD,real,1.7080753603982597,composite,Linkers,2026-05-31,5.306497313865436,3.4709286663783128,-0.005549494754070277,28849.505588344444,0.339666108069156,0.0,0.0,0.0,,2.4328,1.6,-0.7191751448476699,1.2187010633103343,-0.3812989366896657,0.13701413014649866,0.07761817731502413,1.2187010633103343,-0.04733069413800194,-0.0054865758632571815,-0.0027470611039832615,-0.0018322135774281323,0.0,-0.004844961240310197,0.05826853190554342,0.02310772959834693,0.00817994770604976,0.05092126761927422,-0.006942722064162243,0.01766776216950613,0.004215101267631238,0.0,0.03550771663618838,0.034366666666666656,0.04911576442793677,0.022188853650405963,0.04335971119706382,0.04103797577389747,-0.007699616122386565,0.017193850038505563,0.003503962984965131,0.0,0.027764305301557792,0.02634240305142277,0.04678286668945179,0.021081696649651312,0.043907290192053125,0.03889360691609403,-0.007536672622764918,0.016007918311738697,0.0031483938436320776,0.0,0.02704311317968747,0.02517053250893686,0.04482288673827459,0.01955802834777929,0.04290854805918507,0.03751237064711966,-0.006996895056517238,0.01483088220311108,0.00302987079652106,0.0,0.02643272589318017,0.02478020641104428,0.039272323590596826,0.014914378506442125,0.03927232359059677,0.03423708946467319,0.012479498888297825,0.0027928247022990247,0.0,0.023600490405080606,0.023999999999999997,
AU IL: 1-3,AUD,real,0.61917329,Cashflow,Linkers,2026-05-31,1.4767123287671233,0.62061441,-0.01,6877.537476344745,0.02505092,0.0,0.0,0.0,,2.4328,1.6,-1.8036267099999999,0.8429041095890412,-0.7570958904109589,0.13629716894977162,0.04290410958904112,0.8429041095890412,-0.04733069413800195,-0.0054865758632571815,-0.0027470611039832615,-0.0018322135774281323,0.0,-0.004844961240310197,0.041080725770266335,0.0064909855663044524,-0.00819434763413518,0.03385279164488697,-0.006942722064162243,0.006404522120663333,0.0007879187924910735,0.0,0.03364110717694002,0.034366666666666656,0.03578661249143544,0.009201811609784505,0.030103690663854987,0.027811453190544233,-0.0076996161223865656,0.009311407503070414,0.0005270939395414273,0.0,0.025690322697681678,0.02634240305142277,0.03561532384158195,0.010188345257138076,0.032770425266767766,0.02781023018266926,-0.007536672622764917,0.010144924130274817,0.0003966815130666041,0.0,0.02480807709365518,0.02517053250893686,0.03477889310563054,0.009756908488312233,0.032882957168046456,0.027538653783871547,-0.006996895056517238,0.00964001192216797,0.0003532107042416629,0.0,0.0245369784878946,0.02478020641104428,0.032897607168783656,0.008689069500765312,0.03289760716878365,0.02789325829684164,0.008631338082191782,0.00026626908659178097,0.0,0.02378600851521462,0.024,
AU IL: 10+,AUD,real,2.84692190618126,composite,Linkers,2026-05-31,17.69655184885004,12.017188758429597,0.0,7546.63236415499,2.792515174315926,0.0,0.0,0.0,,2.4328,1.6000000000000003,0.41412190618125955,1.8786746878402156,0.2786746878402153,0.024459152434317132,0.027986567936464563,1.8786746878402156,-0.04733069413800195,-0.0054865758632571815,-0.0027470611039832615,-0.0018322135774281325,0.0,-0.004844961240310197,0.07437398085086123,0.03867807758453922,0.023523114573381545,0.06691490090884618,-0.006942722064162244,0.02944761122357022,0.002581994334760461,0.0,0.0409544265214334,0.034366666666666656,0.0641859948907434,0.03687228718876636,0.05834725769715954,0.055992171247264744,-0.007699616122386566,0.026670721837330463,0.0026623159367343426,0.0,0.0337911262045361,0.02634240305142277,0.06008755277757824,0.034059719004200927,0.0571754274945261,0.05209801994082569,-0.007536672622764918,0.02412386961578312,0.0027024767377212835,0.0,0.03233002611436148,0.025170532508936864,0.05652701850273206,0.030979142544985863,0.05459123535451167,0.04913460982989331,-0.006996895056517238,0.02249388203243357,0.002715863671383597,0.0,0.030489058982939698,0.02478020641104428,0.045980266342192065,0.021465103849796913,0.04598026634219204,0.04091253249363484,0.019237628803483807,0.0027426375387082248,0.0,0.023433626712215386,0.024,
AU IL: 10-20,AUD,real,2.71688676,Cashflow,Linkers,2026-05-31,14.235616438356162,9.79983521,0.0,4800.0986216124,1.7813499,0.0,0.0,0.0,,2.4328,1.6,0.2840867600000001,1.7863671232876712,0.18636712328767113,0.03413999999999984,0.04400000000000004,1.7863671232876712,-0.04733069413800195,-0.0054865758632571815,-0.0027470611039832615,-0.0018322135774281323,0.0,-0.004844961240310197,0.07241967483954426,0.036788703077127005,0.021661307222138326,0.06497416310099413,-0.006942722064162243,0.028102571016519997,0.003442290115864586,0.0,0.039527367421533954,0.034366666666666656,0.0627182232083554,0.0354421877618849,0.05688753905545685,0.05453570084338644,-0.0076996161223865656,0.0255103500112288,0.003877108804132295,0.0,0.032280037029273956,0.02634240305142277,0.059245471078703815,0.03323831254335241,0.05633565904553306,0.051262284736037333,-0.007536672622764917,0.023071191052389483,0.0040945181482661495,0.0,0.031136509774352117,0.02517053250893686,0.056120308690287724,0.030582267381023875,0.05418527072130774,0.04873074572332503,-0.006996895056517238,0.02147704696542428,0.0041669879296441,0.0,0.02962443785457869,0.02478020641104428,0.04660432683486576,0.02207453792467362,0.046604326834865706,0.041533569437409934,0.018292399342465755,0.004311927492400004,0.0,0.023390551879377774,0.024,
